credit unions
58
76
228
20851
69
510
6
48
8033
90
200
6
39
109
138
37
457
98
1
28
27
123
6178
76
986
1197
87
27
1046
20
8
42
2638
784
692
145
125
95
32
304
2964
9634
1658
21
883
8423
335
16
2264
1188
1
6
9
33
9
1
1
7
6
10
29
85
25
1
4
14
4
127
14
1
20
19
437
318
35
65
1
235
18
25
24
400
1625
337
48
872
43
188
65
17
547
29
25
85
155
6
180
50
438
15
45
478
5347
69
4
22
1
1
8
1
21
3
10
32
1
1
3
